"","tl","delta","prob_R0_above1"
"163",8,-2,0.347251217814892
"164",8,-1,0.432743611345128
"165",8,0,0.510787172011662
"166",8,1,0.633173843700159
"167",8,2,0.77910447761194
"168",8,3,0.880851063829787
"169",8,4,0.91793893129771
"170",8,5,0.963414634146341
"171",8,6,0.976377952755906
"172",8,7,1
"173",8,8,1
"174",8,9,1
"175",8,10,1
"176",8,11,1
"177",9,-12,0
"178",9,-11,0
"179",9,-10,0
"180",9,-9,0.05
"181",9,-8,0.0952380952380952
"182",9,-7,0.103703703703704
"183",9,-6,0.18007662835249
"184",9,-5,0.173076923076923
"185",9,-4,0.240790655884996
"186",9,-3,0.267687434002112
"187",9,-2,0.330398027474463
"188",9,-1,0.417411357739983
"189",9,0,0.491092636579572
"190",9,1,0.669394435351882
"191",9,2,0.806276403138202
"192",9,3,0.90261780104712
"193",9,4,0.95777027027027
"194",9,5,0.975308641975309
"195",9,6,0.980263157894737
"196",9,7,0.988235294117647
"197",9,8,1
"198",9,9,1
"199",9,10,1
"200",9,11,1
"201",9,12,1
"202",9,13,1
"203",10,-11,0
"204",10,-10,0
"205",10,-9,0.05
"206",10,-8,0.06
"207",10,-7,0.141732283464567
"208",10,-6,0.0965250965250965
"209",10,-5,0.208053691275168
"210",10,-4,0.189565217391304
"211",10,-3,0.239466666666667
"212",10,-2,0.309058614564831
"213",10,-1,0.38305978898007
"214",10,0,0.511145510835913
"215",10,1,0.686080132176786
"216",10,2,0.845717884130982
"217",10,3,0.915841584158416
"218",10,4,0.961876832844575
"219",10,5,0.99171270718232
"220",10,6,0.994897959183674
"221",10,7,1
"222",10,8,1
"223",10,9,1
"224",10,10,1
"225",10,11,1
"226",10,12,1
"227",10,13,1
"228",10,14,1
"229",11,-11,0
"230",11,-10,0.1
"231",11,-9,0.0769230769230769
"232",11,-8,0.0784313725490196
"233",11,-7,0.072
"234",11,-6,0.122448979591837
"235",11,-5,0.140677966101695
"236",11,-4,0.177489177489178
"237",11,-3,0.215969989281886
"238",11,-2,0.284890010818608
"239",11,-1,0.38981077147016
"240",11,0,0.500940438871473
"241",11,1,0.70452528837622
"242",11,2,0.865019011406844
"243",11,3,0.945817490494297
"244",11,4,0.984126984126984
"245",11,5,0.988532110091743
"246",11,6,0.995951417004049
"247",11,7,1
"248",11,8,1
"249",11,9,1
"250",11,10,1
"251",11,11,1
"252",11,12,1
"253",11,13,1
"254",12,-11,0
"255",12,-10,0
"256",12,-9,0
"257",12,-8,0.0697674418604651
"258",12,-7,0.0714285714285714
"259",12,-6,0.0893470790378007
"260",12,-5,0.120065789473684
"261",12,-4,0.154241645244216
"262",12,-3,0.208510638297872
"263",12,-2,0.269272140552169
"264",12,-1,0.357399640503295
"265",12,0,0.509271523178808
"266",12,1,0.720470588235294
"267",12,2,0.879770992366412
"268",12,3,0.95169946332737
"269",12,4,0.985135135135135
"270",12,5,1
"271",12,6,1
"272",12,7,1
"273",12,8,1
"274",12,9,1
"275",12,10,1
"276",12,11,1
"277",12,12,1
"278",12,13,1
"279",12,14,1
"280",12,15,1
"281",13,-12,0
"282",13,-11,0
"283",13,-10,0
"284",13,-9,0.0416666666666667
"285",13,-8,0.0508474576271186
"286",13,-7,0.028169014084507
"287",13,-6,0.074468085106383
"288",13,-5,0.104615384615385
"289",13,-4,0.143220338983051
"290",13,-3,0.191752577319588
"291",13,-2,0.253871083903493
"292",13,-1,0.349511503309171
"293",13,0,0.507729302645139
"294",13,1,0.725722406442444
"295",13,2,0.89159891598916
"296",13,3,0.974222222222222
"297",13,4,0.993506493506494
"298",13,5,0.99822695035461
"299",13,6,0.997093023255814
"300",13,7,1
"301",13,8,1
"302",13,9,1
"303",13,10,1
"304",13,11,1
"305",13,12,1
"306",13,13,1
"307",13,14,1
"308",13,15,1
"309",13,17,1
"310",14,-13,0
"311",14,-12,0
"312",14,-11,0
"313",14,-10,0
"314",14,-9,0
"315",14,-8,0.0338983050847458
"316",14,-7,0.0584415584415584
"317",14,-6,0.0740740740740741
"318",14,-5,0.0984615384615385
"319",14,-4,0.130148270181219
"320",14,-3,0.148224395265054
"321",14,-2,0.240104555638536
"322",14,-1,0.334611697027804
"323",14,0,0.501238061549346
"324",14,1,0.756448412698413
"325",14,2,0.90704032809296
"326",14,3,0.978201634877384
"327",14,4,0.99400479616307
"328",14,5,0.998165137614679
"329",14,6,1
"330",14,7,1
"331",14,8,1
"332",14,9,1
"333",14,10,1
"334",14,11,1
"335",14,12,1
"336",14,13,1
"337",14,14,1
"338",14,15,1
"339",14,17,1
"340",14,18,1
"341",14,19,1
"342",15,-13,0
"343",15,-12,0
"344",15,-11,0
"345",15,-10,0
"346",15,-9,0.03125
"347",15,-8,0.0161290322580645
"348",15,-7,0.0588235294117647
"349",15,-6,0.0567164179104478
"350",15,-5,0.0771558245083207
"351",15,-4,0.106934001670844
"352",15,-3,0.149090909090909
"353",15,-2,0.228220402084885
"354",15,-1,0.32495867768595
"355",15,0,0.474582560296846
"356",15,1,0.764955002646903
"357",15,2,0.922530206112296
"358",15,3,0.975778546712803
